"","Group.1","Group.2","x"
"1",1,"April",3889
"2",2,"April",530
"3",3,"April",3165
"4",4,"April",9777
"5",5,"April",4694
"6",6,"April",4907
"7",7,"April",1693
"8",8,"April",1248
"9",9,"April",1701
"10",10,"April",7185
"11",11,"April",5434
"12",12,"April",1124
"13",13,"April",617
"14",14,"April",717
"15",15,"April",653
"16",16,"April",754
"17",17,"April",1641
"18",18,"April",1167
"19",19,"April",618
"20",20,"April",3045
"21",21,"April",1527
"22",22,"April",1358
"23",23,"April",1701
"24",24,"April",819
"25",25,"April",4606
"26",26,"April",1315
"27",27,"April",1547
"28",28,"April",3923
"29",29,"April",1476
"30",30,"April",364
"31",1,"August",5642
"32",2,"August",6806
"33",3,"August",4525
"34",4,"August",5645
"35",5,"August",8075
"36",6,"August",2556
"37",7,"August",8249
"38",8,"August",4179
"39",9,"August",2179
"40",10,"August",4609
"41",11,"August",5061
"42",12,"August",1604
"43",13,"August",1125
"44",14,"August",6760
"45",15,"August",10684
"46",16,"August",6001
"47",17,"August",1078
"48",18,"August",2510
"49",19,"August",926
"50",20,"August",3160
"51",21,"August",3175
"52",22,"August",3218
"53",23,"August",4016
"54",24,"August",2033
"55",25,"August",7308
"56",26,"August",2294
"57",27,"August",1760
"58",28,"August",1644
"59",29,"August",11100
"60",30,"August",1048
"61",31,"August",647
"62",1,"December",9224
"63",2,"December",915
"64",3,"December",1903
"65",4,"December",792
"66",5,"December",821
"67",6,"December",1795
"68",7,"December",1955
"69",8,"December",1974
"70",9,"December",3063
"71",10,"December",4681
"72",11,"December",6602
"73",12,"December",2250
"74",13,"December",1690
"75",14,"December",2239
"76",15,"December",9198
"77",16,"December",6073
"78",17,"December",7013
"79",18,"December",12351
"80",19,"December",9726
"81",20,"December",6305
"82",21,"December",15206
"83",22,"December",10832
"84",23,"December",8197
"85",24,"December",7357
"86",25,"December",2925
"87",26,"December",7769
"88",27,"December",9218
"89",28,"December",4459
"90",29,"December",1346
"91",30,"December",2771
"92",31,"December",2948
"93",1,"February",9601
"94",2,"February",2074
"95",3,"February",4992
"96",4,"February",4843
"97",5,"February",10285
"98",6,"February",7854
"99",7,"February",2767
"100",8,"February",2448
"101",9,"February",1088
"102",10,"February",5966
"103",11,"February",4942
"104",12,"February",8805
"105",13,"February",8485
"106",14,"February",1257
"107",15,"February",2265
"108",16,"February",6298
"109",17,"February",5856
"110",18,"February",4995
"111",19,"February",1736
"112",20,"February",6978
"113",21,"February",6755
"114",22,"February",14268
"115",23,"February",3715
"116",24,"February",3057
"117",25,"February",3563
"118",26,"February",14094
"119",27,"February",2157
"120",28,"February",1063
"121",29,"February",1675
"122",1,"January",8092
"123",2,"January",5140
"124",3,"January",2005
"125",4,"January",3331
"126",5,"January",3034
"127",6,"January",3368
"128",7,"January",4381
"129",8,"January",1860
"130",9,"January",2027
"131",10,"January",3220
"132",11,"January",3571
"133",12,"January",872
"134",13,"January",1747
"135",14,"January",2503
"136",15,"January",2096
"137",16,"January",1163
"138",17,"January",7156
"139",18,"January",3349
"140",19,"January",4947
"141",20,"January",1498
"142",21,"January",6593
"143",22,"January",4232
"144",23,"January",4413
"145",24,"January",2206
"146",25,"January",2636
"147",26,"January",1708
"148",27,"January",8185
"149",28,"January",3538
"150",29,"January",3901
"151",30,"January",3283
"152",31,"January",8830
"153",1,"July",1059
"154",2,"July",5152
"155",3,"July",1951
"156",4,"July",1597
"157",5,"July",4608
"158",6,"July",9514
"159",7,"July",6769
"160",8,"July",10339
"161",9,"July",4899
"162",10,"July",7976
"163",11,"July",2729
"164",12,"July",5017
"165",13,"July",7773
"166",14,"July",2995
"167",15,"July",4246
"168",16,"July",1249
"169",17,"July",1934
"170",18,"July",2325
"171",19,"July",1649
"172",20,"July",4706
"173",21,"July",3829
"174",22,"July",4225
"175",23,"July",7809
"176",24,"July",6824
"177",25,"July",4052
"178",26,"July",3192
"179",27,"July",6929
"180",28,"July",3152
"181",29,"July",3218
"182",30,"July",5941
"183",31,"July",7120
"184",1,"June",2538
"185",2,"June",1473
"186",3,"June",5548
"187",4,"June",8963
"188",5,"June",5512
"189",6,"June",5372
"190",7,"June",2532
"191",8,"June",6783
"192",9,"June",7350
"193",10,"June",6172
"194",11,"June",3084
"195",12,"June",4819
"196",13,"June",7802
"197",14,"June",3081
"198",15,"June",4620
"199",16,"June",5024
"200",17,"June",7871
"201",18,"June",3747
"202",19,"June",14437
"203",20,"June",3502
"204",21,"June",6946
"205",22,"June",7799
"206",23,"June",7198
"207",24,"June",3695
"208",25,"June",3649
"209",26,"June",9370
"210",27,"June",6541
"211",28,"June",7026
"212",29,"June",8905
"213",30,"June",3087
"214",1,"March",1107
"215",2,"March",2838
"216",3,"March",5598
"217",4,"March",5844
"218",5,"March",3874
"219",6,"March",2790
"220",7,"March",7798
"221",8,"March",10251
"222",9,"March",4716
"223",10,"March",3143
"224",11,"March",3638
"225",12,"March",1207
"226",13,"March",857
"227",14,"March",3965
"228",15,"March",8113
"229",16,"March",2653
"230",17,"March",1867
"231",18,"March",5381
"232",19,"March",11535
"233",20,"March",3095
"234",21,"March",5956
"235",22,"March",2724
"236",23,"March",970
"237",24,"March",1109
"238",25,"March",1766
"239",26,"March",710
"240",27,"March",2316
"241",28,"March",3422
"242",29,"March",3070
"243",30,"March",5405
"244",31,"March",12907
"245",1,"May",993
"246",2,"May",9980
"247",3,"May",2130
"248",4,"May",1026
"249",5,"May",2210
"250",6,"May",3371
"251",7,"May",1713
"252",8,"May",1826
"253",9,"May",2684
"254",10,"May",1170
"255",11,"May",2884
"256",12,"May",2166
"257",13,"May",1810
"258",14,"May",3564
"259",15,"May",2716
"260",16,"May",3173
"261",17,"May",179
"262",18,"May",1891
"263",19,"May",848
"264",20,"May",2392
"265",21,"May",562
"266",22,"May",5292
"267",23,"May",3450
"268",24,"May",1188
"269",25,"May",875
"270",26,"May",1451
"271",27,"May",8574
"272",28,"May",1137
"273",29,"May",1370
"274",30,"May",3097
"275",31,"May",3360
"276",1,"November",533
"277",2,"November",1315
"278",3,"November",743
"279",4,"November",605
"280",5,"November",860
"281",6,"November",2776
"282",7,"November",2350
"283",8,"November",624
"284",9,"November",746
"285",10,"November",1517
"286",11,"November",1655
"287",12,"November",790
"288",13,"November",3121
"289",14,"November",5026
"290",15,"November",813
"291",16,"November",1056
"292",17,"November",1049
"293",18,"November",370
"294",19,"November",373
"295",20,"November",911
"296",21,"November",1702
"297",22,"November",1085
"298",23,"November",902
"299",24,"November",748
"300",25,"November",1016
"301",26,"November",616
"302",27,"November",820
"303",28,"November",786
"304",29,"November",1758
"305",30,"November",7935
"306",1,"October",648
"307",2,"October",910
"308",3,"October",1002
"309",4,"October",200
"310",5,"October",2895
"311",6,"October",844
"312",7,"October",768
"313",8,"October",1267
"314",9,"October",1520
"315",10,"October",731
"316",11,"October",1142
"317",12,"October",1169
"318",13,"October",570
"319",14,"October",154
"320",15,"October",1673
"321",16,"October",783
"322",17,"October",781
"323",18,"October",333
"324",19,"October",200
"325",20,"October",471
"326",21,"October",1190
"327",22,"October",1957
"328",23,"October",394
"329",24,"October",2348
"330",25,"October",1108
"331",26,"October",1517
"332",27,"October",1584
"333",28,"October",2593
"334",29,"October",1240
"335",30,"October",380
"336",31,"October",603
"337",1,"September",855
"338",2,"September",905
"339",3,"September",2039
"340",4,"September",1348
"341",5,"September",469
"342",6,"September",2235
"343",7,"September",461
"344",8,"September",5100
"345",9,"September",3628
"346",10,"September",501
"347",11,"September",2801
"348",12,"September",5221
"349",13,"September",5979
"350",14,"September",3508
"351",15,"September",829
"352",16,"September",234
"353",17,"September",1129
"354",18,"September",713
"355",19,"September",592
"356",20,"September",450
"357",21,"September",967
"358",22,"September",366
"359",23,"September",863
"360",24,"September",1440
"361",25,"September",1694
"362",26,"September",3363
"363",27,"September",924
"364",28,"September",2690
"365",29,"September",695
"366",30,"September",1404
